"Comment_count","Participant_count","URL","create_Date","last_post_Date","active_days"
4,2,"https://d.cosx.org/d/420693",2019-05-23,2019-05-23,0
2,1,"https://d.cosx.org/d/420694",2019-05-23,2019-05-23,0
1,1,"https://d.cosx.org/d/420695",2019-05-23,2019-05-23,0
3,2,"https://d.cosx.org/d/420692",2019-05-23,2019-05-23,0
13,5,"https://d.cosx.org/d/420679",2019-05-17,2019-05-23,6
1,1,"https://d.cosx.org/d/420691",2019-05-22,2019-05-22,0
1,1,"https://d.cosx.org/d/420688",2019-05-21,2019-05-21,0
2,2,"https://d.cosx.org/d/420687",2019-05-21,2019-05-21,0
2,2,"https://d.cosx.org/d/420685",2019-05-20,2019-05-21,1
1,1,"https://d.cosx.org/d/420683",2019-05-19,2019-05-19,0
6,3,"https://d.cosx.org/d/420682",2019-05-18,2019-05-19,1
37,16,"https://d.cosx.org/d/418970",2013-09-17,2019-05-18,2069
8,8,"https://d.cosx.org/d/419089",2015-07-20,2019-05-18,1398
69,48,"https://d.cosx.org/d/104126",2011-04-25,2019-05-18,2945
1,1,"https://d.cosx.org/d/420681",2019-05-18,2019-05-18,0
1,1,"https://d.cosx.org/d/420680",2019-05-18,2019-05-18,0
4,2,"https://d.cosx.org/d/420672",2019-05-13,2019-05-16,3
9,5,"https://d.cosx.org/d/420675",2019-05-14,2019-05-16,2
10,3,"https://d.cosx.org/d/420671",2019-05-13,2019-05-16,3
3,3,"https://d.cosx.org/d/420676",2019-05-16,2019-05-16,0
7,4,"https://d.cosx.org/d/420667",2019-05-12,2019-05-15,3
11,4,"https://d.cosx.org/d/420499",2019-03-08,2019-05-15,68
7,3,"https://d.cosx.org/d/420669",2019-05-13,2019-05-14,1
1,1,"https://d.cosx.org/d/420674",2019-05-13,2019-05-13,0
8,4,"https://d.cosx.org/d/420498",2019-03-08,2019-05-13,66
1,1,"https://d.cosx.org/d/420673",2019-05-13,2019-05-13,0
3,2,"https://d.cosx.org/d/420668",2019-05-13,2019-05-13,0
3,2,"https://d.cosx.org/d/420663",2019-05-12,2019-05-12,0
11,4,"https://d.cosx.org/d/420661",2019-05-11,2019-05-12,1
15,7,"https://d.cosx.org/d/412122",2015-08-06,2019-05-11,1374
105,91,"https://d.cosx.org/d/106288",2012-02-24,2019-05-11,2633
13,5,"https://d.cosx.org/d/420659",2019-05-10,2019-05-11,1
9,4,"https://d.cosx.org/d/420657",2019-05-09,2019-05-10,1
15,3,"https://d.cosx.org/d/420650",2019-05-08,2019-05-10,2
4,2,"https://d.cosx.org/d/420656",2019-05-09,2019-05-09,0
3,2,"https://d.cosx.org/d/420658",2019-05-09,2019-05-09,0
1,1,"https://d.cosx.org/d/420655",2019-05-09,2019-05-09,0
9,2,"https://d.cosx.org/d/420649",2019-05-08,2019-05-08,0
2,2,"https://d.cosx.org/d/420648",2019-05-08,2019-05-08,0
3,2,"https://d.cosx.org/d/420612",2019-04-20,2019-05-08,18
10,5,"https://d.cosx.org/d/420642",2019-05-05,2019-05-08,3
1,1,"https://d.cosx.org/d/420647",2019-05-07,2019-05-07,0
7,4,"https://d.cosx.org/d/106972",2012-05-08,2019-05-07,2555
5,4,"https://d.cosx.org/d/420645",2019-05-07,2019-05-07,0
1,1,"https://d.cosx.org/d/420646",2019-05-07,2019-05-07,0
5,3,"https://d.cosx.org/d/420643",2019-05-05,2019-05-05,0
1,1,"https://d.cosx.org/d/420644",2019-05-05,2019-05-05,0
2,2,"https://d.cosx.org/d/420641",2019-05-04,2019-05-04,0
4,2,"https://d.cosx.org/d/420639",2019-05-04,2019-05-04,0
1,1,"https://d.cosx.org/d/420640",2019-05-04,2019-05-04,0
1,1,"https://d.cosx.org/d/420638",2019-05-04,2019-05-04,0
3,2,"https://d.cosx.org/d/420637",2019-05-03,2019-05-04,1
11,5,"https://d.cosx.org/d/420481",2019-02-28,2019-05-03,64
4,2,"https://d.cosx.org/d/420636",2019-05-03,2019-05-03,0
2,2,"https://d.cosx.org/d/420635",2019-05-02,2019-05-02,0
3,2,"https://d.cosx.org/d/420609",2019-04-18,2019-05-02,14
1,1,"https://d.cosx.org/d/420634",2019-05-02,2019-05-02,0
3,2,"https://d.cosx.org/d/420633",2019-05-01,2019-05-02,1
1,1,"https://d.cosx.org/d/420632",2019-05-01,2019-05-01,0
4,2,"https://d.cosx.org/d/420631",2019-04-30,2019-04-30,0
13,5,"https://d.cosx.org/d/420629",2019-04-29,2019-04-30,1
6,2,"https://d.cosx.org/d/420630",2019-04-29,2019-04-29,0
2,2,"https://d.cosx.org/d/420625",2019-04-27,2019-04-28,1
3,3,"https://d.cosx.org/d/420626",2019-04-28,2019-04-28,0
802,714,"https://d.cosx.org/d/818",2006-08-01,2019-04-27,4652
3,2,"https://d.cosx.org/d/420620",2019-04-24,2019-04-26,2
3,2,"https://d.cosx.org/d/420622",2019-04-25,2019-04-26,1
2,2,"https://d.cosx.org/d/420624",2019-04-25,2019-04-25,0
20,3,"https://d.cosx.org/d/420548",2019-03-28,2019-04-25,28
3,2,"https://d.cosx.org/d/420618",2019-04-24,2019-04-25,1
2,2,"https://d.cosx.org/d/420621",2019-04-25,2019-04-25,0
1,1,"https://d.cosx.org/d/420623",2019-04-25,2019-04-25,0
7,4,"https://d.cosx.org/d/420611",2019-04-19,2019-04-24,5
1,1,"https://d.cosx.org/d/420619",2019-04-24,2019-04-24,0
2,2,"https://d.cosx.org/d/420617",2019-04-23,2019-04-24,1
16,7,"https://d.cosx.org/d/420606",2019-04-15,2019-04-23,8
1,1,"https://d.cosx.org/d/420614",2019-04-23,2019-04-23,0
5,4,"https://d.cosx.org/d/103876",2011-03-30,2019-04-23,2946
3,2,"https://d.cosx.org/d/420610",2019-04-19,2019-04-22,3
7,6,"https://d.cosx.org/d/108092",2012-09-23,2019-04-21,2401
1,1,"https://d.cosx.org/d/420613",2019-04-21,2019-04-21,0
7,5,"https://d.cosx.org/d/107793",2012-08-21,2019-04-19,2432
4,2,"https://d.cosx.org/d/420608",2019-04-18,2019-04-19,1
5,3,"https://d.cosx.org/d/420524",2019-03-18,2019-04-19,32
2,2,"https://d.cosx.org/d/420097",2018-07-28,2019-04-17,263
7,6,"https://d.cosx.org/d/419185",2017-03-15,2019-04-17,763
164,91,"https://d.cosx.org/d/418798",2009-07-02,2019-04-17,3576
5,4,"https://d.cosx.org/d/152326",2014-03-06,2019-04-17,1868
4,2,"https://d.cosx.org/d/420605",2019-04-15,2019-04-16,1
3,3,"https://d.cosx.org/d/420607",2019-04-15,2019-04-16,1
4,3,"https://d.cosx.org/d/420549",2019-03-28,2019-04-15,18
6,4,"https://d.cosx.org/d/420598",2019-04-12,2019-04-14,2
4,1,"https://d.cosx.org/d/420599",2019-04-12,2019-04-14,2
1,1,"https://d.cosx.org/d/420604",2019-04-14,2019-04-14,0
1,1,"https://d.cosx.org/d/420603",2019-04-14,2019-04-14,0
5,2,"https://d.cosx.org/d/420602",2019-04-13,2019-04-14,1
8,3,"https://d.cosx.org/d/420582",2019-04-11,2019-04-13,2
6,3,"https://d.cosx.org/d/420601",2019-04-13,2019-04-13,0
3,2,"https://d.cosx.org/d/420600",2019-04-12,2019-04-13,1
10,4,"https://d.cosx.org/d/420591",2019-04-11,2019-04-13,2
1,1,"https://d.cosx.org/d/420597",2019-04-12,2019-04-12,0
1,1,"https://d.cosx.org/d/420596",2019-04-12,2019-04-12,0
11,5,"https://d.cosx.org/d/420089",2018-07-25,2019-04-12,261
7,4,"https://d.cosx.org/d/420580",2019-04-09,2019-04-11,2
5,3,"https://d.cosx.org/d/420581",2019-04-10,2019-04-11,1
17,6,"https://d.cosx.org/d/420579",2019-04-09,2019-04-10,1
12,4,"https://d.cosx.org/d/420574",2019-04-06,2019-04-10,4
142,111,"https://d.cosx.org/d/7832",2007-09-11,2019-04-10,4229
9,5,"https://d.cosx.org/d/420571",2019-04-05,2019-04-09,4
2,2,"https://d.cosx.org/d/420578",2019-04-09,2019-04-09,0
5,2,"https://d.cosx.org/d/420555",2019-03-30,2019-04-08,9
4,3,"https://d.cosx.org/d/420577",2019-04-08,2019-04-08,0
13,5,"https://d.cosx.org/d/420544",2019-03-25,2019-04-08,14
3,2,"https://d.cosx.org/d/420576",2019-04-08,2019-04-08,0
3,2,"https://d.cosx.org/d/420575",2019-04-07,2019-04-08,1
3,2,"https://d.cosx.org/d/420565",2019-04-02,2019-04-07,5
8,4,"https://d.cosx.org/d/420572",2019-04-05,2019-04-06,1
10,3,"https://d.cosx.org/d/420568",2019-04-03,2019-04-06,3
6,3,"https://d.cosx.org/d/420533",2019-03-21,2019-04-05,15
2,2,"https://d.cosx.org/d/420554",2019-03-30,2019-04-05,6
3,2,"https://d.cosx.org/d/420566",2019-04-02,2019-04-05,3
5,5,"https://d.cosx.org/d/420558",2019-03-31,2019-04-04,4
15,6,"https://d.cosx.org/d/420562",2019-04-02,2019-04-04,2
9,5,"https://d.cosx.org/d/420570",2019-04-04,2019-04-04,0
5,2,"https://d.cosx.org/d/420522",2019-03-18,2019-04-04,17
160,121,"https://d.cosx.org/d/35",2006-05-25,2019-04-03,4696
45,6,"https://d.cosx.org/d/419258",2017-07-22,2019-04-03,620
7,3,"https://d.cosx.org/d/420553",2019-03-29,2019-04-03,5
2,2,"https://d.cosx.org/d/420567",2019-04-02,2019-04-03,1
4,2,"https://d.cosx.org/d/420551",2019-03-29,2019-04-03,5
8,3,"https://d.cosx.org/d/420560",2019-04-01,2019-04-02,1
2,2,"https://d.cosx.org/d/409479",2015-01-20,2019-04-02,1533
30,3,"https://d.cosx.org/d/420552",2019-03-29,2019-04-02,4
1,1,"https://d.cosx.org/d/420564",2019-04-02,2019-04-02,0
5,2,"https://d.cosx.org/d/420561",2019-04-01,2019-04-02,1
1,1,"https://d.cosx.org/d/420563",2019-04-02,2019-04-02,0
12,12,"https://d.cosx.org/d/419101",2015-10-02,2019-04-02,1278
3,2,"https://d.cosx.org/d/420559",2019-04-01,2019-04-02,1
3,2,"https://d.cosx.org/d/420557",2019-03-31,2019-04-01,1
4,2,"https://d.cosx.org/d/420556",2019-03-31,2019-03-31,0
3,2,"https://d.cosx.org/d/420538",2019-03-23,2019-03-31,8
5,2,"https://d.cosx.org/d/420550",2019-03-28,2019-03-30,2
7,3,"https://d.cosx.org/d/420201",2018-09-30,2019-03-28,179
8,2,"https://d.cosx.org/d/420545",2019-03-27,2019-03-28,1
8,4,"https://d.cosx.org/d/420539",2019-03-24,2019-03-26,2
7,3,"https://d.cosx.org/d/420543",2019-03-25,2019-03-26,1
2,2,"https://d.cosx.org/d/420540",2019-03-25,2019-03-25,0
28,6,"https://d.cosx.org/d/420467",2019-02-22,2019-03-22,28
19,5,"https://d.cosx.org/d/420461",2019-02-20,2019-03-22,30
1,1,"https://d.cosx.org/d/420537",2019-03-22,2019-03-22,0
14,14,"https://d.cosx.org/d/150373",2014-02-12,2019-03-22,1864
9,3,"https://d.cosx.org/d/420532",2019-03-20,2019-03-22,2
1,1,"https://d.cosx.org/d/420536",2019-03-22,2019-03-22,0
6,2,"https://d.cosx.org/d/420535",2019-03-21,2019-03-21,0
2,2,"https://d.cosx.org/d/420526",2019-03-19,2019-03-20,1
3,2,"https://d.cosx.org/d/420521",2019-03-18,2019-03-20,2
9,3,"https://d.cosx.org/d/420525",2019-03-19,2019-03-20,1
5,2,"https://d.cosx.org/d/420531",2019-03-19,2019-03-19,0
25,11,"https://d.cosx.org/d/419792",2018-02-08,2019-03-19,404
18,6,"https://d.cosx.org/d/420512",2019-03-13,2019-03-19,6
1,1,"https://d.cosx.org/d/420523",2019-03-18,2019-03-18,0
4,3,"https://d.cosx.org/d/418598",2017-05-08,2019-03-18,679
7,3,"https://d.cosx.org/d/420508",2019-03-12,2019-03-18,6
5,4,"https://d.cosx.org/d/149607",2014-01-15,2019-03-17,1887
3,2,"https://d.cosx.org/d/420501",2019-03-10,2019-03-17,7
2,2,"https://d.cosx.org/d/420510",2019-03-13,2019-03-17,4
2,1,"https://d.cosx.org/d/420500",2019-03-09,2019-03-16,7
1,1,"https://d.cosx.org/d/420520",2019-03-16,2019-03-16,0
36,6,"https://d.cosx.org/d/420350",2018-12-13,2019-03-15,92
4,2,"https://d.cosx.org/d/420519",2019-03-15,2019-03-15,0
6,5,"https://d.cosx.org/d/420511",2019-03-13,2019-03-15,2
1,1,"https://d.cosx.org/d/420518",2019-03-15,2019-03-15,0
24,4,"https://d.cosx.org/d/420507",2019-03-12,2019-03-14,2
6,4,"https://d.cosx.org/d/420473",2019-02-24,2019-03-14,18
1,1,"https://d.cosx.org/d/420516",2019-03-14,2019-03-14,0
1,1,"https://d.cosx.org/d/420514",2019-03-14,2019-03-14,0
1,1,"https://d.cosx.org/d/420513",2019-03-13,2019-03-13,0
3,2,"https://d.cosx.org/d/420509",2019-03-13,2019-03-13,0
26,6,"https://d.cosx.org/d/420476",2019-02-26,2019-03-12,14
24,19,"https://d.cosx.org/d/2739",2006-11-30,2019-03-12,4485
1,1,"https://d.cosx.org/d/420506",2019-03-12,2019-03-12,0
1,1,"https://d.cosx.org/d/420505",2019-03-11,2019-03-11,0
3,2,"https://d.cosx.org/d/420504",2019-03-10,2019-03-10,0
6,3,"https://d.cosx.org/d/420496",2019-03-06,2019-03-07,1
1,1,"https://d.cosx.org/d/420497",2019-03-06,2019-03-06,0
2,2,"https://d.cosx.org/d/420495",2019-03-06,2019-03-06,0
4,2,"https://d.cosx.org/d/420494",2019-03-06,2019-03-06,0
1,1,"https://d.cosx.org/d/420493",2019-03-05,2019-03-05,0
5,3,"https://d.cosx.org/d/420492",2019-03-04,2019-03-05,1
16,4,"https://d.cosx.org/d/420469",2019-02-24,2019-03-05,9
6,3,"https://d.cosx.org/d/420489",2019-03-03,2019-03-05,2
3,1,"https://d.cosx.org/d/420491",2019-03-04,2019-03-04,0
8,3,"https://d.cosx.org/d/420482",2019-02-28,2019-03-02,2
6,4,"https://d.cosx.org/d/420486",2019-03-01,2019-03-02,1
4,3,"https://d.cosx.org/d/420488",2019-03-01,2019-03-01,0
5,4,"https://d.cosx.org/d/420437",2019-02-10,2019-03-01,19
5,3,"https://d.cosx.org/d/420485",2019-02-28,2019-03-01,1
3,3,"https://d.cosx.org/d/420484",2019-02-28,2019-02-28,0
6,4,"https://d.cosx.org/d/420420",2019-01-30,2019-02-28,29
9,5,"https://d.cosx.org/d/102996",2010-11-25,2019-02-28,3017
2,1,"https://d.cosx.org/d/420480",2019-02-27,2019-02-27,0
15,4,"https://d.cosx.org/d/420471",2019-02-24,2019-02-27,3
2,2,"https://d.cosx.org/d/420478",2019-02-27,2019-02-27,0
1,1,"https://d.cosx.org/d/420477",2019-02-27,2019-02-27,0
5,3,"https://d.cosx.org/d/420470",2019-02-24,2019-02-25,1
2,2,"https://d.cosx.org/d/420474",2019-02-24,2019-02-24,0
1,1,"https://d.cosx.org/d/420472",2019-02-24,2019-02-24,0
3,2,"https://d.cosx.org/d/420468",2019-02-23,2019-02-24,1
3,3,"https://d.cosx.org/d/420465",2019-02-22,2019-02-23,1
8,6,"https://d.cosx.org/d/420464",2019-02-21,2019-02-23,2
158,119,"https://d.cosx.org/d/7673",2007-09-02,2019-02-22,4191
4,3,"https://d.cosx.org/d/420462",2019-02-20,2019-02-22,2
2,2,"https://d.cosx.org/d/420466",2019-02-22,2019-02-22,0
3,2,"https://d.cosx.org/d/420463",2019-02-21,2019-02-21,0
8,3,"https://d.cosx.org/d/420459",2019-02-19,2019-02-20,1
4,4,"https://d.cosx.org/d/420458",2019-02-18,2019-02-20,2
1,1,"https://d.cosx.org/d/420460",2019-02-20,2019-02-20,0
4,4,"https://d.cosx.org/d/420455",2019-02-16,2019-02-20,4
3,2,"https://d.cosx.org/d/420457",2019-02-17,2019-02-18,1
5,3,"https://d.cosx.org/d/420442",2019-02-12,2019-02-17,5
5,4,"https://d.cosx.org/d/420445",2019-02-14,2019-02-17,3
1,1,"https://d.cosx.org/d/420456",2019-02-16,2019-02-16,0
12,3,"https://d.cosx.org/d/420412",2019-01-25,2019-02-16,22
3,2,"https://d.cosx.org/d/420452",2019-02-15,2019-02-16,1
3,2,"https://d.cosx.org/d/420454",2019-02-15,2019-02-16,1
3,2,"https://d.cosx.org/d/420444",2019-02-13,2019-02-16,3
1,1,"https://d.cosx.org/d/420453",2019-02-15,2019-02-15,0
2,2,"https://d.cosx.org/d/420451",2019-02-15,2019-02-15,0
26,17,"https://d.cosx.org/d/418872",2012-05-26,2019-02-15,2456
1,1,"https://d.cosx.org/d/420450",2019-02-15,2019-02-15,0
2,2,"https://d.cosx.org/d/420446",2019-02-14,2019-02-15,1
182,159,"https://d.cosx.org/d/6790",2007-06-18,2019-02-15,4260
1,1,"https://d.cosx.org/d/420447",2019-02-14,2019-02-14,0
2,1,"https://d.cosx.org/d/420441",2019-02-12,2019-02-13,1
5,3,"https://d.cosx.org/d/420443",2019-02-13,2019-02-13,0
20,3,"https://d.cosx.org/d/420439",2019-02-11,2019-02-12,1
7,3,"https://d.cosx.org/d/420428",2019-02-02,2019-02-12,10
3,2,"https://d.cosx.org/d/420440",2019-02-11,2019-02-12,1
4,2,"https://d.cosx.org/d/420438",2019-02-10,2019-02-11,1
9,4,"https://d.cosx.org/d/420424",2019-01-31,2019-02-10,10
6,4,"https://d.cosx.org/d/420185",2018-09-21,2019-02-10,142
4,3,"https://d.cosx.org/d/420436",2019-02-09,2019-02-10,1
7,2,"https://d.cosx.org/d/420433",2019-02-08,2019-02-08,0
1,1,"https://d.cosx.org/d/420435",2019-02-08,2019-02-08,0
7,4,"https://d.cosx.org/d/420430",2019-02-04,2019-02-08,4
1,1,"https://d.cosx.org/d/420434",2019-02-08,2019-02-08,0
14,8,"https://d.cosx.org/d/420419",2019-01-29,2019-02-07,9
3,2,"https://d.cosx.org/d/420431",2019-02-06,2019-02-07,1
8,4,"https://d.cosx.org/d/420432",2019-02-06,2019-02-06,0
18,7,"https://d.cosx.org/d/3004",2006-12-15,2019-02-04,4434
4,3,"https://d.cosx.org/d/420429",2019-02-03,2019-02-03,0
3,2,"https://d.cosx.org/d/420384",2019-01-01,2019-02-03,33
4,2,"https://d.cosx.org/d/420423",2019-01-31,2019-02-03,3
47,25,"https://d.cosx.org/d/418843",2011-05-29,2019-02-02,2806
12,7,"https://d.cosx.org/d/420069",2018-07-09,2019-02-02,208
8,2,"https://d.cosx.org/d/420427",2019-02-01,2019-02-01,0
4,3,"https://d.cosx.org/d/420426",2019-02-01,2019-02-01,0
13,7,"https://d.cosx.org/d/420410",2019-01-22,2019-02-01,10
3,3,"https://d.cosx.org/d/420425",2019-01-31,2019-01-31,0
2,1,"https://d.cosx.org/d/420418",2019-01-28,2019-01-31,3
2,2,"https://d.cosx.org/d/420422",2019-01-31,2019-01-31,0
3,1,"https://d.cosx.org/d/420404",2019-01-15,2019-01-31,16
3,2,"https://d.cosx.org/d/419716",2017-12-24,2019-01-31,403
1,1,"https://d.cosx.org/d/420421",2019-01-31,2019-01-31,0
3,2,"https://d.cosx.org/d/420415",2019-01-26,2019-01-28,2
1,1,"https://d.cosx.org/d/420417",2019-01-28,2019-01-28,0
4,3,"https://d.cosx.org/d/420414",2019-01-26,2019-01-27,1
8,4,"https://d.cosx.org/d/420409",2019-01-22,2019-01-27,5
3,3,"https://d.cosx.org/d/420405",2019-01-15,2019-01-26,11
1,1,"https://d.cosx.org/d/420413",2019-01-25,2019-01-25,0
4,4,"https://d.cosx.org/d/420396",2019-01-08,2019-01-24,16
1,1,"https://d.cosx.org/d/420411",2019-01-24,2019-01-24,0
1,1,"https://d.cosx.org/d/420408",2019-01-22,2019-01-22,0
4,3,"https://d.cosx.org/d/102020",2010-06-25,2019-01-20,3131
1,1,"https://d.cosx.org/d/420407",2019-01-18,2019-01-18,0
3,2,"https://d.cosx.org/d/420026",2018-06-05,2019-01-17,226
7,3,"https://d.cosx.org/d/420389",2019-01-03,2019-01-16,13
1,1,"https://d.cosx.org/d/420406",2019-01-16,2019-01-16,0
6,3,"https://d.cosx.org/d/420402",2019-01-14,2019-01-15,1
1,1,"https://d.cosx.org/d/420403",2019-01-15,2019-01-15,0
11,3,"https://d.cosx.org/d/420392",2019-01-05,2019-01-15,10
42,26,"https://d.cosx.org/d/2963",2006-12-12,2019-01-14,4416
3,2,"https://d.cosx.org/d/420401",2019-01-11,2019-01-12,1
10,5,"https://d.cosx.org/d/420212",2018-10-10,2019-01-12,94
6,3,"https://d.cosx.org/d/420400",2019-01-09,2019-01-11,2
20,14,"https://d.cosx.org/d/418837",2011-04-25,2019-01-11,2818
3,4,"https://d.cosx.org/d/420368",2018-12-18,2019-01-11,24
39,10,"https://d.cosx.org/d/419692",2017-12-13,2019-01-09,392
1,1,"https://d.cosx.org/d/420399",2019-01-09,2019-01-09,0
2,2,"https://d.cosx.org/d/420397",2019-01-08,2019-01-08,0
3,3,"https://d.cosx.org/d/420382",2018-12-29,2019-01-08,10
4,3,"https://d.cosx.org/d/420393",2019-01-06,2019-01-08,2
4,3,"https://d.cosx.org/d/420395",2019-01-07,2019-01-08,1
5,4,"https://d.cosx.org/d/420385",2019-01-01,2019-01-07,6
2,2,"https://d.cosx.org/d/420394",2019-01-07,2019-01-07,0
3,2,"https://d.cosx.org/d/420390",2019-01-05,2019-01-06,1
1,1,"https://d.cosx.org/d/420391",2019-01-05,2019-01-05,0
10,9,"https://d.cosx.org/d/417196",2016-05-13,2019-01-05,967
31,6,"https://d.cosx.org/d/420369",2018-12-19,2019-01-04,16
3,2,"https://d.cosx.org/d/420386",2019-01-02,2019-01-03,1
3,2,"https://d.cosx.org/d/420176",2018-09-15,2019-01-03,110
6,4,"https://d.cosx.org/d/420387",2019-01-02,2019-01-03,1
2,2,"https://d.cosx.org/d/420388",2019-01-03,2019-01-03,0
4,4,"https://d.cosx.org/d/419170",2016-11-13,2019-01-02,780
5,5,"https://d.cosx.org/d/420375",2018-12-24,2018-12-30,6
1,1,"https://d.cosx.org/d/420383",2018-12-30,2018-12-30,0
3,3,"https://d.cosx.org/d/420379",2018-12-26,2018-12-29,3
6,4,"https://d.cosx.org/d/420345",2018-12-10,2018-12-29,19
18,13,"https://d.cosx.org/d/418956",2013-08-22,2018-12-29,1955
3,2,"https://d.cosx.org/d/420374",2018-12-24,2018-12-28,4
1,1,"https://d.cosx.org/d/420380",2018-12-27,2018-12-27,0
11,4,"https://d.cosx.org/d/420361",2018-12-18,2018-12-26,8
4,3,"https://d.cosx.org/d/420358",2018-12-15,2018-12-26,11
2,2,"https://d.cosx.org/d/420373",2018-12-24,2018-12-25,1
2,2,"https://d.cosx.org/d/420309",2018-11-21,2018-12-23,32
1,1,"https://d.cosx.org/d/420372",2018-12-22,2018-12-22,0
17,16,"https://d.cosx.org/d/418901",2013-01-28,2018-12-22,2154
4,4,"https://d.cosx.org/d/420371",2018-12-20,2018-12-22,2
8,3,"https://d.cosx.org/d/420355",2018-12-14,2018-12-21,7
11,3,"https://d.cosx.org/d/420363",2018-12-18,2018-12-21,3
6,2,"https://d.cosx.org/d/420370",2018-12-20,2018-12-20,0
8,5,"https://d.cosx.org/d/420250",2018-10-25,2018-12-20,56
9,3,"https://d.cosx.org/d/420362",2018-12-18,2018-12-19,1
9,8,"https://d.cosx.org/d/104211",2011-05-01,2018-12-18,2788
8,2,"https://d.cosx.org/d/420359",2018-12-16,2018-12-18,2
1,1,"https://d.cosx.org/d/420360",2018-12-16,2018-12-16,0
3,3,"https://d.cosx.org/d/420357",2018-12-15,2018-12-15,0
3,1,"https://d.cosx.org/d/420356",2018-12-14,2018-12-14,0
3,3,"https://d.cosx.org/d/420354",2018-12-14,2018-12-14,0
1,1,"https://d.cosx.org/d/420353",2018-12-13,2018-12-13,0
